task_id,parent_id,project_name,task_name,status,percentage_completion,date_created,start_date,due_date,date_completed,time_tracked_hours,task_type,complexity_points,priority,blocker_reason,quality_review_status,last_updated_date,predecessor_task_id,assignee_id
T-00262,T-00255,Internal Tool Development - Automation Suite,Performance Tracking - T-00262,Blocked,38.6,2024-11-15,2024-11-18,,,6.4,Marketing & Promotion,1,Medium,,,2025-06-28,,ASS-010
T-00263,T-00262,Q3 Product Feature Launch - AI Integration,FAQ Document - T-00263,REVIEW,100.0,2025-04-11,2025-04-13,2025-05-04,2025-05-14,33.5,Customer Support Prep,2,Critical,,Failed QA,2025-06-26,,ASS-005
T-00264,T-00262,Website Redesign - User Experience Overhaul,User Testing - T-00264,completed.,100.0,2024-09-18,2024-09-24,2024-10-20,2024-10-23,29.1,Design & UX,1,Medium,,,2025-06-27,,ASS-002
T-00265,T-00255,Customer Onboarding Flow Optimization,Wireframe Creation - T-00265,Completed,100.0,2024-07-20,2024-07-22,2024-09-12,2024-09-10,22.7,Design & UX,5,High,,Minor Rework,2025-06-23,,ASS-001
T-00266,T-00265,Internal Tool Development - Automation Suite,Data Collection Setup - T-00266,REVIEW,100.0,2024-10-29,2024-11-05,2024-12-13,2024-12-08,6.2,Analytics & Reporting,1,High,,,2025-06-24,,ASS-007
T-00267,,Customer Onboarding Flow Optimization,Mockup Design - T-00267,Blocked,52.1,2025-03-04,2025-03-06,2025-04-08,,7.4,Design & UX,3,Critical,,,2025-07-03,,ASS-008
T-00268,,Q3 Product Feature Launch - AI Integration,Integration Testing - T-00268,In Progress,19.2,2024-07-14,2024-07-16,2024-07-29,,9.9,QA & Testing,2,High,,,2025-07-04,,ASS-005
T-00269,,Internal Tool Development - Automation Suite,API Endpoint Creation - T-00269,Completed,100.0,2025-02-16,2025-02-21,2025-02-26,2025-03-05,,Development (Backend),5,medium,,,2025-07-02,,ASS-009
T-00270,T-00269,Website Redesign - User Experience Overhaul,Ad Spend Optimization - T-00270,Review,100.0,2025-03-20,2025-03-26,2025-05-09,2025-05-10,,Marketing & Promotion,4,Medium,,,2025-07-06,,ASS-001
T-00271,T-00270,Customer Onboarding Flow Optimization,Performance Tracking - T-00271,Completed,100.0,2025-02-27,2025-03-05,,2025-04-21,,Marketing & Promotion,1,Critical,,Minor Rework,2025-06-25,,ASS-012
T-00272,T-00269,Customer Onboarding Flow Optimization,Campaign Launch - T-00272,Completed,100.0,2025-03-31,2025-04-05,2025-04-10,2025-04-12,28.7,Marketing & Promotion,1,High,,Minor Rework,2025-07-02,,ASS-012
T-00273,T-00269,Q3 Product Feature Launch - AI Integration,FAQ Document - T-00273,Review,100.0,2025-01-24,2025-01-26,2025-02-28,,12.1,Customer Support Prep,3,Critical,,Passed,2025-07-02,,ASS-012
